country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags
BRA,Tishman Spyer,BRA0031143,2.65,-23.5013,-46.8678,Oil,2013.0,
USA,Oswego County Energy Recovery,USA0050907,3.6,43.3488,-76.4252,Waste,1986.0,
JPN,Rokunohe B,WKS0071666,,40.6627,141.3312,Solar,,MISSING_CAPACITY
DEU,Bachhagel Solar Power Plant,WRI1030333,1.8,48.6281,10.3384,Solar,,
BRA,Taíba Albatroz,BRA0028858,16.5,-3.5103,-38.9164,Wind,2008.0,
IND,VARAHI,IND0000497,460.0,13.6576,74.9484,Hydro,1999.0,
GBR,Rainbow,GBR0001876,4.7907,52.0702,-1.861,Solar,,
GBR,Trickey Warren,GBR0004860,4.63197,50.9269,-3.1381,Solar,,
CHN,Laoliang B,WKS0071133,40.0,41.311,114.249,Solar,,
POL,EC Wrocław,WRI1019055,263.0,51.1234,17.0241,Coal,,
ITA,Oria,WKS0066749,5.9,40.474,17.646,Solar,,
GRC,Mesokomo,WKS0073072,5.0,40.56,23.35,Solar,,
USA,Richmond Solar Park 3,USA0062770,6.7,39.839,-84.8256,Solar,2020.0,
UKR,Starokozache,WKS0061380,,46.344,30.004,Solar,,MISSING_CAPACITY
USA,Soliloquoy Ridge LLC,USA0055570,1.9,44.2364,-96.2331,Wind,2001.0,
GBR,Tredinnick Fields,GBR0001064,5.8,50.4067,-4.7582,Solar,,
POL,EC Zakłady Chemiczne Police,WRI1019088,100.0,53.5743,14.5334,Coal,,
NPL,Devighat Hydroelectric Power Plant Nepal,GEODB0040484,14.1,27.9212,85.1462,Hydro,,
USA,Smithland Hydroelectric Plant,USA0057400,75.9,37.1696,-88.4195,Hydro,2017.0,
USA,Hatchet Creek Project,USA0010882,6.8,40.8741,-121.9204,Hydro,1987.0,
BRA,Cachoeira do Brumado,BRA0029723,2.34,-21.8528,-43.8886,Hydro,2010.0,
AUS,Onslow,AUS0000411,3.6,-21.6582,115.099,Gas,,
FRA,Damazan,WRI1025307,1.90716,44.2889,0.2751,Solar,,
MMR,Baluchaung BHP (1),WRI1061350,28.0,19.57,97.316,Hydro,1992.0,
FRA,La Neuville-Bosmont,WRI1024224,12.0,49.7149,3.8333,Wind,,
PHL,NAC DPP,WRI1030490,,9.7189,125.5081,Oil,2017.0,MISSING_CAPACITY
FRA,La Salvetat-Peyralès,WRI1025362,1.72735,44.2211,2.1966,Solar,,
FRA,Aragnouet,WRI1024461,10.255,42.7845,0.1782,Hydro,,
IND,GACL Kutch Wind Farm,WRI1026671,,23.0272,69.9494,Wind,,MISSING_CAPACITY
ESP,P. E. SERRA DO CANDO,WRI1006865,29.23,42.4,-8.4333,Wind,,
FRA,Distré,WRI1025230,2.21506,47.2232,-0.1236,Solar,,
IRL,Ballinlough/Ikerrin,WRI1022831,,52.8301,-8.0752,Wind,2006.0,MISSING_CAPACITY
RUS,Tolmachevskaya HPP-3,WRI1062173,18.4,52.6286,157.4468,Hydro,1997.0,
